id,imdb_id,title,original_title,release_year,release_date,runtime_minutes,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,popularity,vote_average,vote_count,budget,revenue,overview,tagline,status,original_language,adult,video,keywords,has_mpst_synopsis
161833,tt0024329,Mickey's Gala Premier,Mickey's Gala Premier,1933,1933-07-01,7.0,"[""Animation""]","[""Walt Disney Pictures"",""United Artists Pictures""]","[""United States of America""]","[""English""]",,0.430328,6.0,6,0,0,"Mickey's film is having a premiere, and all the stars turn out at the Chinese Theatre. Among those shown: Laurel and Hardy, the Marx Brothers, Jimmy Durante, Clark Gable, Sid Grauman, Mae West. The picture, Galloping Romance (Pegleg Pete kidnaps Minnie, and Mickey gives chase on a variety of animals), starts, and everyone in the audience sways along to the music, then rolls in the aisles with laughter. After, everyone comes on stage to congratulate Mickey; Garbo smothers him with kisses.",,Released,en,False,False,[],False
161836,tt0023854,Building a Building,Building a Building,1933,1933-01-07,7.0,"[""Animation""]","[""Walt Disney Pictures"",""United Artists Pictures""]","[""United States of America""]","[""English""]",,1.064244,6.2,6,0,0,"Mickey's a shovel operator and laborer at a construction site; Minnie is delivering box lunches; Pete is the foreman. Mickey pays more attention to Minnie than to his work, and keeps having accidents (mostly involving the blueprints Pete is holding). Pete steals Mickey's lunch, so Minnie offers him one on the house. While he's eating, Pete kidnaps Minnie; Mickey fights him, but the tide turns when Minnie dumps a load of hot rivets into Pete's pants...",,Released,en,False,False,[],False
166426,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,2017-05-23,129.0,"[""Adventure"",""Action"",""Fantasy"",""Comedy""]","[""Walt Disney Pictures"",""Jerry Bruckheimer Films"",""Infinitum Nihil"",""Moving Picture Company (MPC)""]","[""United States of America""]","[""English""]",Pirates of the Caribbean Collection,133.82782,6.6,2814,230000000,794191988,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.",,Released,en,False,False,"[""sea"",""ship"",""sequel"",""artifact"",""treasure map"",""pirate"",""period drama"",""monkey"",""swashbuckler"",""ghost"",""caribbean"",""trident""]",False
177572,tt2245084,Big Hero 6,Big Hero 6,2014,2014-10-24,102.0,"[""Adventure"",""Family"",""Animation"",""Action"",""Comedy""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",,213.849907,7.8,6289,165000000,652105443,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",From the creators of Wreck-it Ralph and Frozen,Released,en,False,False,"[""brother brother relationship"",""hero"",""talent"",""revenge"",""best friend"",""another dimension"",""robot"",""boy genius"",""hate"",""aftercreditsstinger"",""moral dilemma"",""3d"",""teen superheroes"",""dead brother""]",True
197725,tt0219105,John Henry,John Henry,2000,2000-05-27,10.0,"[""Animation"",""Drama"",""Family""]","[""Walt Disney Pictures""]","[""United States of America""]","[""English""]",,1.563748,7.1,18,0,0,"Disney's retelling of the legend of John Henry, the steel-driving man.",,Released,en,False,False,"[""legend"",""disney short"",""tall tale"",""short""]",False
198185,tt1647668,Million Dollar Arm,Million Dollar Arm,2014,2014-05-09,124.0,"[""Drama""]","[""Walt Disney Pictures""]","[""United States of America""]","[""हिन्दी"",""English""]",,9.453942,6.6,264,25000000,38307627,"In a last-ditch effort to save his career, sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.","Sometimes to win, sometimes you have to change the game",Released,en,False,False,"[""baseball"",""sport"",""duringcreditsstinger""]",False
200481,tt2616880,The Blue Umbrella,The Blue Umbrella,2013,2013-02-12,7.0,"[""Animation"",""Romance""]","[""Pixar Animation Studios""]","[""United States of America""]","[""No Language""]",,6.568023,7.8,183,0,0,"It is just another evening commute until the rain starts to fall, and the city comes alive to the sound of dripping rain pipes, whistling awnings and gurgling gutters.",,Released,en,False,False,"[""rain"",""anthropomorphism"",""umbrella"",""selective coloring"",""short""]",True
213121,tt2446040,Toy Story of Terror!,Toy Story of Terror!,2013,2013-10-15,22.0,"[""Animation"",""Comedy"",""Family""]","[""Walt Disney Pictures"",""Pixar Animation Studios""]","[""United States of America""]","[""English""]",,0.512025,7.3,246,0,0,"What starts out as a fun road trip for the Toy Story gang takes an unexpected turn for the worse when the trip detours to a roadside motel. After one of the toys goes missing, the others find themselves caught up in a mysterious sequence of events that must be solved before they all suffer the same fate in this Toy Story of Terror.",One toy gets left behind!,Released,en,False,False,"[""halloween"",""toys"",""short""]",False
218778,tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,2014-10-08,81.0,"[""Family"",""Comedy""]","[""Walt Disney Pictures"",""21 Laps Entertainment"",""Jim Henson Company, The""]","[""United States of America""]","[""English""]",,7.861004,6.1,502,28000000,100654149,"Alexander's day begins with gum stuck in his hair, followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day.",One day can change everything.,Released,en,False,False,"[""based on novel"",""job interview"",""bad luck"",""wish"",""one day"",""based on children's book"",""driver's test""]",False
218836,tt2980706,Planes: Fire & Rescue,Planes: Fire & Rescue,2014,2014-07-17,83.0,"[""Animation"",""Comedy"",""Adventure"",""Family""]","[""Walt Disney Pictures"",""DisneyToon Studios"",""Prana Studios"",""Prana Animation Studios""]","[""United States of America""]","[""English""]",Planes Collection,7.579855,5.8,286,50000000,151165787,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.","When others fly out, heroes fly in.",Released,en,False,False,"[""firemen"",""national park"",""sequel"",""anthropomorphism""]",True
224141,tt2180411,Into the Woods,Into the Woods,2014,2014-12-25,125.0,"[""Fantasy"",""Comedy"",""Music""]","[""Walt Disney Pictures"",""Marc Platt Productions"",""Lucamar Productions""]","[""United States of America""]","[""English""]",,9.580785,5.6,1688,50000000,212902372,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",Be careful what you wish for...,Released,en,False,False,"[""witch"",""cinderella"",""prince"",""fairy tale"",""musical"",""princess"",""based on play or musical"",""sondheim"",""curse"",""beanstalk"",""duringcreditsstinger"",""red riding hood""]",True
228203,tt2097298,"McFarland, USA","McFarland, USA",2015,2015-02-20,128.0,"[""Drama""]","[""Walt Disney Pictures"",""Mayhem Pictures""]","[""United States of America""]","[""English"",""Italiano""]",,6.894606,7.4,216,0,45710059,A track coach in a small California town transforms a team of athletes into championship contenders.,Champions Can Come From Anywhere.,Released,en,False,False,"[""california"",""small town"",""coach"",""championship"",""woman director"",""track and field""]",False
234567,tt2980764,Get a Horse!,Get a Horse!,2013,2013-11-27,6.0,"[""Animation"",""Family""]","[""Walt Disney Pictures"",""Walt Disney Animation Studios""]","[""United States of America""]","[""English""]",,5.418712,7.6,76,0,0,"Mickey, Minnie, Horace Horsecollar, and Clarabelle Cow go on a musical wagon ride until Peg-Leg Pete tries to run them off the road.",,Released,en,False,False,"[""mickey mouse"",""disney short"",""minnie mouse"",""woman director""]",False
